"Chariot","Zone","Type","Quantité","sav","poids","Couleur"
"ASSET57","STOC2","armoire","5","non","153","vert"
"ASSET130","ARRI1","armoire","0","oui","1513","rouge"
"ASSET44","DEPA1","chaise","0","non","151","rouge"
"ASSET60","PROD2","armoire","6","non","1573","vert"
"ASSET58","STOC1","armoire","3","non","153","rouge"
"ASSET150","ARRI1","table","0","oui","1573","rouge"
"ASSET27","STOC2","armoire","5","non","1853","vert"
"ASSET63","STOC2","armoire","5","non","1563","rouge"
"ASSET123","ARRI1","armoire","0","oui","153","vert"
"ASSET117","ARRI1","armoire","0","oui","1453","jaune"
"ASSET72","DEPA1","chaise","0","non","153","jaune"
"ASSET67","STOC2","chaise","8","non","1523","jaune"
"ASSET20","STOC2","table","12","non","53","vert"
"ASSET138","ARRI1","chaise","0","oui","1353","jaune"
